AREA,PERIMETER,ECO_US_,ECO_US_ID,ECOCODE,DOMAIN,DIVISION,PROVINCE,SECTION
465883.03,2539.98,1526,1666,-212H,HUMID TEMPERATE DOMAIN,Warm Continental Division,Laurentian Mixed Forest Province,Northern Great Lakes Section
1904515.5,5370.951,1527,1667,-212H,HUMID TEMPERATE DOMAIN,Warm Continental Division,Laurentian Mixed Forest Province,Northern Great Lakes Section
3403935.2,7179.913,1528,1668,-212J,HUMID TEMPERATE DOMAIN,Warm Continental Division,Laurentian Mixed Forest Province,Southern Superior Uplands Section
410488.46,2490.146,1529,1669,-212H,HUMID TEMPERATE DOMAIN,Warm Continental Division,Laurentian Mixed Forest Province,Northern Great Lakes Section
337304512,146037.07,1530,115,-212H,HUMID TEMPERATE DOMAIN,Warm Continental Division,Laurentian Mixed Forest Province,Northern Great Lakes Section
190516.39,1671.499,1531,1670,-212H,HUMID TEMPERATE DOMAIN,Warm Continental Division,Laurentian Mixed Forest Province,Northern Great Lakes Section
62234632,51547.641,1532,114,-212J,HUMID TEMPERATE DOMAIN,Warm Continental Division,Laurentian Mixed Forest Province,Southern Superior Uplands Section
266327.93,1996.759,1533,1671,-212H,HUMID TEMPERATE DOMAIN,Warm Continental Division,Laurentian Mixed Forest Province,Northern Great Lakes Section
276756.87,1985.318,1534,1672,-212H,HUMID TEMPERATE DOMAIN,Warm Continental Division,Laurentian Mixed Forest Province,Northern Great Lakes Section
306220.93,2142.575,1535,1673,-212H,HUMID TEMPERATE DOMAIN,Warm Continental Division,Laurentian Mixed Forest Province,Northern Great Lakes Section
887850.31,3558.585,1536,1674,-212H,HUMID TEMPERATE DOMAIN,Warm Continental Division,Laurentian Mixed Forest Province,Northern Great Lakes Section
8056438.5,12173.682,1537,1675,-212J,HUMID TEMPERATE DOMAIN,Warm Continental Division,Laurentian Mixed Forest Province,Southern Superior Uplands Section
