AREA,PERIMETER,ECO_US_,ECO_US_ID,ECOCODE,DOMAIN,DIVISION,PROVINCE,SECTION
1088145.2,4395.521,1689,1796,-212H,HUMID TEMPERATE DOMAIN,Warm Continental Division,Laurentian Mixed Forest Province,Northern Great Lakes Section
465034.56,2713.669,1690,1797,-212H,HUMID TEMPERATE DOMAIN,Warm Continental Division,Laurentian Mixed Forest Province,Northern Great Lakes Section
429000000,903949.5,1691,147,-222L,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Continental) Province,North Central U.S. Driftless and Escarpment Section
2848917,7203.311,1692,1798,-221A,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Oceanic) Province,Lower New England Section
753195.56,4372.135,1693,1799,-222J,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Continental) Province,South Central Great Lakes Section
11170366,21868.422,1694,1800,-222J,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Continental) Province,South Central Great Lakes Section
164000000,834739.43,1695,11,M261D,HUMID TEMPERATE DOMAIN,Mediterranean Regime Mountains,Sierran Steppe-Mixed Forest-Coniferous Forest-Alpine Meadow Province,Southern Cascades Section
73359736,36732.289,1696,127,-222I,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Continental) Province,Erie and Ontario Lake Plain Section
464000000,1240281.7,1697,159,-222K,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Continental) Province,Southwestern Great Lakes Morainal Section
334762.18,2350.142,1698,1801,-222J,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Continental) Province,South Central Great Lakes Section
262453.09,2145.504,1699,1802,-222J,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Continental) Province,South Central Great Lakes Section
266000000,835926.75,1700,51,-342D,DRY DOMAIN,Temperate Desert Division,Intermountain Semi-Desert Province,Snake River Basalts Section
275625.37,1947.834,1701,1803,-222J,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Continental) Province,South Central Great Lakes Section
557489.18,2881.442,1702,1804,-222J,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Continental) Province,South Central Great Lakes Section
388958.56,2582.951,1703,1805,-222J,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Continental) Province,South Central Great Lakes Section
330973.5,2312.206,1704,1806,-222J,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Continental) Province,South Central Great Lakes Section
1334937.6,5084.777,1705,1807,-221A,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Oceanic) Province,Lower New England Section
27717318,29175.908,1706,140,-221A,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Oceanic) Province,Lower New England Section
15191362,24316.514,1707,1808,-221A,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Oceanic) Province,Lower New England Section
951000000,449750.37,1708,60,M334A,DRY DOMAIN,Temperate Steppe Regime Mountains,Black Hills Coniferous Forest Province,Black Hills Section
122000000,1391384,1709,3,-263A,HUMID TEMPERATE DOMAIN,Mediterranean Division,California Coastal Steppe-Mixed Forest-Redwood Forest Province,Northern California Coast Section
4766056,11646.018,1710,1809,-221A,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Oceanic) Province,Lower New England Section
343000000,900928.93,1711,140,-221A,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Oceanic) Province,Lower New England Section
14578416,21868.463,1712,1810,-221A,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Oceanic) Province,Lower New England Section
35613188,40447.164,1713,140,-221A,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Oceanic) Province,Lower New England Section
253000000,726184.56,1714,12,M261G,HUMID TEMPERATE DOMAIN,Mediterranean Regime Mountains,Sierran Steppe-Mixed Forest-Coniferous Forest-Alpine Meadow Province,Modoc Plateau Section
2240720.7,6747.021,1715,1811,-221A,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Oceanic) Province,Lower New England Section
305000000,1171393,1716,128,-221F,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Oceanic) Province,Western Glaciated Allegheny Plateau Section
832000000,2107723.5,1717,132,M221A,HUMID TEMPERATE DOMAIN,Hot Continental Regime Mountains,Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow Province,Northern Ridge & Valley Section
778000000,432154.59,1718,161,M331J,DRY DOMAIN,Temperate Steppe Regime Mountains,Southern Rocky Mountain Steppe-Open Woodland-Coniferous Forest-Alpine Meadow Province,Wind River Mountain Section
152000000,560717.81,1719,149,-212G,HUMID TEMPERATE DOMAIN,Warm Continental Division,Laurentian Mixed Forest Province,Northern Unglaciated Allegheny Plateau Section
46803496,100289.78,1720,140,-221A,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Oceanic) Province,Lower New England Section
762082.37,6085.036,1721,1812,-222I,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Continental) Province,Erie and Ontario Lake Plain Section
31135814,50948.285,1722,1813,-222I,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Continental) Province,Erie and Ontario Lake Plain Section
406000000,1023463.1,1723,153,-342F,DRY DOMAIN,Temperate Desert Division,Intermountain Semi-Desert Province,Central Basin and Hills Section
5125454,18997.203,1724,1814,-222I,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Continental) Province,Erie and Ontario Lake Plain Section
353084.43,2419.55,1725,1815,-222I,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Continental) Province,Erie and Ontario Lake Plain Section
544919.12,2845.812,1726,1816,-222I,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Continental) Province,Erie and Ontario Lake Plain Section
686431.06,5921.971,1727,1817,-222I,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Continental) Province,Erie and Ontario Lake Plain Section
42582104,60134.148,1728,140,-221A,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Oceanic) Province,Lower New England Section
395337.9,2533.973,1729,1818,-222I,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Continental) Province,Erie and Ontario Lake Plain Section
397028.06,2807.627,1730,1819,-222I,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Continental) Province,Erie and Ontario Lake Plain Section
164000000,767487.12,1731,168,M261B,HUMID TEMPERATE DOMAIN,Mediterranean Regime Mountains,Sierran Steppe-Mixed Forest-Coniferous Forest-Alpine Meadow Province,Northern California Coast Ranges Section
5900864,11404.759,1732,1820,-221A,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Oceanic) Province,Lower New England Section
144984928,58312.035,1733,151,-221D,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Oceanic) Province,Northern Appalacian Piedmont Section
3130093,8458.456,1734,1821,-222I,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Continental) Province,Erie and Ontario Lake Plain Section
509000000,1015004.6,1735,46,-342G,DRY DOMAIN,Temperate Desert Division,Intermountain Semi-Desert Province,Greater Green River Basin Section
1016930.1,4572.549,1736,1822,-263A,HUMID TEMPERATE DOMAIN,Mediterranean Division,California Coastal Steppe-Mixed Forest-Redwood Forest Province,Northern California Coast Section
23200654,26782.061,1737,127,-222I,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Continental) Province,Erie and Ontario Lake Plain Section
247000000,1068300,1738,131,M221B,HUMID TEMPERATE DOMAIN,Hot Continental Regime Mountains,Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow Province,Allegheny Mountains Section
815000000,1563705.1,1739,129,-221E,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Oceanic) Province,Southern Unglaciated Allegheny Plateau Section
590171,3205.546,1740,1823,-222I,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Continental) Province,Erie and Ontario Lake Plain Section
354302.34,2499.346,1741,1824,-222I,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Continental) Province,Erie and Ontario Lake Plain Section
698466.43,3299.345,1742,1825,-222I,HUMID TEMPERATE DOMAIN,Hot Continental Division,Eastern Broadleaf Forest (Continental) Province,Erie and Ontario Lake Plain Section
662000000,1480703.5,1743,31,-341E,DRY DOMAIN,Temperate Desert Division,Intermountain Semi-Desert and Desert Province,Lahontan Basin Section
934000000,1411108.8,1744,118,-251D,HUMID TEMPERATE DOMAIN,Prairie Division,Prairie Parkland (Temperate) Province,Central Loess Plains Section
