SAMPLE,OTU,ABUNDANCE
NTP22,5511-Root; k__Bacteria; p__SPAM; c__0319-6G9; o__; f__,1
NTP24,5516-Root; k__Bacteria; p__Acidobacteria; c__; o__; f__,1
NTP24,5518-Root; k__Bacteria; p__Acidobacteria; c__; o__; f__,1
NTP27,5528-Root; k__Bacteria; p__SPAM; c__0319-6G9; o__; f__,1
NTP27,5531-Root; k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae,1
NTP29,5531-Root; k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae,1
NTP39,5531-Root; k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae,1
NTP22,5534-Root; k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae,1
NTP27,5534-Root; k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae,1
NTP27,5535-Root; k__Bacteria; p__Planctomycetes; c__agg27; o__OM190; f__,3
NTP28,5537-Root; k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__MIZ46; f__,1
NTP9,5537-Root; k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__MIZ46; f__,1
NTP29,5540-Root; k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__; f__,1
NTP22,5542-Root; k__Bacteria; p__SPAM; c__0319-6G9; o__; f__,2
NTP29,5542-Root; k__Bacteria; p__SPAM; c__0319-6G9; o__; f__,1
NTP5,5542-Root; k__Bacteria; p__SPAM; c__0319-6G9; o__; f__,2
NTP1,5543-Root; k__Bacteria; p__Planctomycetes; c__Planctomycea; o__Gemmatales; f__Gemmataceae,1
NTP29,5543-Root; k__Bacteria; p__Planctomycetes; c__Planctomycea; o__Gemmatales; f__Gemmataceae,1
NTP38,5543-Root; k__Bacteria; p__Planctomycetes; c__Planctomycea; o__Gemmatales; f__Gemmataceae,1
NTP2,5546-Root; k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae,1
NTP32,5548-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP12,5549-Root; k__Bacteria; p__Planctomycetes; c__agg27; o__OM190; f__,3
NTP26,5549-Root; k__Bacteria; p__Planctomycetes; c__agg27; o__OM190; f__,1
NTP32,5549-Root; k__Bacteria; p__Planctomycetes; c__agg27; o__OM190; f__,1
NTP7,5549-Root; k__Bacteria; p__Planctomycetes; c__agg27; o__OM190; f__,4
NTP33,5555-Root; k__Bacteria; p__Chloroflexi; c__Anaerolineae,1
NTP33,5558-Root; k__Bacteria; p__OP3; c__koll11; o__GIF10; f__,1
NTP34,5562-Root; k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae,1
NTP34,5564-Root; k__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae,1
NTP34,5565-Root; k__Bacteria; p__Chloroflexi; c__Chloroflexi-4; o__; f__,1
NTP34,5568-Root; k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae,2
NTP36,5572-Root; k__Bacteria; p__Planctomycetes; c__Planctomycea; o__Gemmatales; f__Gemmataceae,1
NTP38,5574-Root; k__Bacteria,1
NTP34,5582-Root; k__Bacteria; p__Armatimonadetes; c__Chthonomonadetes; o__Chthonomonadales; f__Chthonomonadaceae,1
NTP39,5582-Root; k__Bacteria; p__Armatimonadetes; c__Chthonomonadetes; o__Chthonomonadales; f__Chthonomonadaceae,1
NTP39,5585-Root; k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae,1
NTP39,5586-Root; k__Bacteria; p__Planctomycetes,1
NTP3,5591-Root; k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Pasteuriaceae,1
NTP3,5592-Root; k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria,1
NTP3,5594-Root; k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria,2
NTP5,5597-Root; k__Bacteria; p__SM2F11; c__; o__; f__,2
NTP5,5598-Root; k__Bacteria; p__Chloroflexi; c__Ktedonobacteria; o__; f__,1
NTP5,5599-Root; k__Bacteria; p__Chloroflexi; c__Ktedonobacteria; o__; f__,1
NTP6,5603-Root; k__Bacteria; p__Acidobacteria,1
NTP7,5604-Root; k__Bacteria; p__Planctomycetes; c__Planctomycea; o__Gemmatales; f__Gemmataceae,1
NTP8,5605-Root; k__Bacteria; p__Cyanobacteria; c__4C0d-2; o__mle1-12; f__,1
NTP9,5610-Root; k__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae,2
NTP9,5611-Root; k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiotrichales; f__,1
NTP5,5636-Root; k__Bacteria,1
NTP33,5661-Root; k__Bacteria,1
NTP14,5706-Root; k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__MIZ46; f__,1
NTP3,5729-Root; k__Bacteria; p__Planctomycetes; c__Planctomycea; o__Gemmatales; f__Gemmataceae,1
NTP14,5830-Root; k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__A31; f__S47,2
NTP7,5835-Root; k__Bacteria; p__Planctomycetes; c__Planctomycea; o__Gemmatales; f__Gemmataceae,1
NTP9,5835-Root; k__Bacteria; p__Planctomycetes; c__Planctomycea; o__Gemmatales; f__Gemmataceae,1
NTP4,5838-Root; k__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae,2
NTP13,5839-Root; k__Bacteria; p__SPAM; c__0319-6G9; o__; f__,1
NTP22,5900-Root; k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae,1
NTP1,5903-Root; k__Bacteria; p__Planctomycetes; c__Planctomycea; o__Gemmatales; f__Gemmataceae,2
NTP27,5903-Root; k__Bacteria; p__Planctomycetes; c__Planctomycea; o__Gemmatales; f__Gemmataceae,2
NTP32,5906-Root; k__Bacteria,1
NTP32,5907-Root; k__Bacteria; p__Verrucomicrobia; c__Spartobacteria; o__Spartobacteriales; f__Spartobacteriaceae,1
NTP4,5912-Root; k__Bacteria; p__Tenericutes; c__Mollicutes; o__Mycoplasmatales; f__Mycoplasmataceae,1
NTP18,5921-Root; k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__MC47; f__,1
NTP23,5921-Root; k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__MC47; f__,1
NTP26,5921-Root; k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__MC47; f__,1
NTP33,5921-Root; k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__MC47; f__,1
NTP36,5922-Root; k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae,1
NTP12,5971-Root; k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__; f__,2
NTP26,5971-Root; k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__; f__,1
NTP4,5971-Root; k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__; f__,1
NTP21,5993-Root; k__Bacteria; p__Chloroflexi; c__TK17; o__mle1-48; f__,1
NTP24,6022-Root; k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Caldilineales; f__Caldilineaceae,1
NTP21,6023-Root; k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__; f__,1
NTP24,6023-Root; k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__; f__,1
NTP25,6024-Root; k__Bacteria,1
NTP36,6030-Root; k__Bacteria; p__SPAM; c__0319-6G9; o__; f__,1
NTP4,6031-Root; k__Bacteria,1
NTP14,6042-Root; k__Bacteria; p__Chloroflexi; c__SOGA31; o__; f__,1
NTP27,6042-Root; k__Bacteria; p__Chloroflexi; c__SOGA31; o__; f__,5
NTP6,6042-Root; k__Bacteria; p__Chloroflexi; c__SOGA31; o__; f__,1
NTP7,6042-Root; k__Bacteria; p__Chloroflexi; c__SOGA31; o__; f__,2
NTP33,6046-Root; k__Bacteria; p__Planctomycetes; c__Planctomycea; o__Gemmatales; f__Gemmataceae,1
NTP33,6064-Root; k__Bacteria; p__Armatimonadetes; c__CH21; o__; f__,1
NTP11,6084-Root; k__Bacteria; p__Verrucomicrobia; c__Opitutae; o__Opitutales; f__Opitutaceae,1
NTP24,6084-Root; k__Bacteria; p__Verrucomicrobia; c__Opitutae; o__Opitutales; f__Opitutaceae,1
NTP33,6084-Root; k__Bacteria; p__Verrucomicrobia; c__Opitutae; o__Opitutales; f__Opitutaceae,1
NTP1,6115-Root; k__Bacteria; p__Verrucomicrobia; c__Spartobacteria; o__Spartobacteriales; f__Spartobacteriaceae,3
NTP18,6115-Root; k__Bacteria; p__Verrucomicrobia; c__Spartobacteria; o__Spartobacteriales; f__Spartobacteriaceae,3
NTP2,6115-Root; k__Bacteria; p__Verrucomicrobia; c__Spartobacteria; o__Spartobacteriales; f__Spartobacteriaceae,2
NTP21,6115-Root; k__Bacteria; p__Verrucomicrobia; c__Spartobacteria; o__Spartobacteriales; f__Spartobacteriaceae,3
NTP23,6115-Root; k__Bacteria; p__Verrucomicrobia; c__Spartobacteria; o__Spartobacteriales; f__Spartobacteriaceae,6
NTP25,6115-Root; k__Bacteria; p__Verrucomicrobia; c__Spartobacteria; o__Spartobacteriales; f__Spartobacteriaceae,1
NTP26,6115-Root; k__Bacteria; p__Verrucomicrobia; c__Spartobacteria; o__Spartobacteriales; f__Spartobacteriaceae,2
NTP39,6115-Root; k__Bacteria; p__Verrucomicrobia; c__Spartobacteria; o__Spartobacteriales; f__Spartobacteriaceae,1
NTP5,6115-Root; k__Bacteria; p__Verrucomicrobia; c__Spartobacteria; o__Spartobacteriales; f__Spartobacteriaceae,1
NTP6,6115-Root; k__Bacteria; p__Verrucomicrobia; c__Spartobacteria; o__Spartobacteriales; f__Spartobacteriaceae,1
NTP9,6115-Root; k__Bacteria; p__Verrucomicrobia; c__Spartobacteria; o__Spartobacteriales; f__Spartobacteriaceae,1
NTP2,6129-Root; k__Bacteria; p__Planctomycetes; c__agg27; o__CL500-15; f__,1
NTP23,6129-Root; k__Bacteria; p__Planctomycetes; c__agg27; o__CL500-15; f__,3
NTP11,6132-Root; k__Bacteria; p__Planctomycetes; c__agg27; o__OM190; f__,1
NTP10,6135-Root; k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__; f__,1
NTP11,6135-Root; k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__; f__,1
NTP23,6135-Root; k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__; f__,1
NTP25,6135-Root; k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__; f__,1
NTP36,6143-Root; k__Bacteria,1
NTP18,6158-Root; k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Acidimicrobiales; f__EB1017,1
NTP25,6166-Root; k__Bacteria; p__TM6; c__SJA-4; o__; f__,2
NTP39,6240-Root; k__Bacteria; p__Armatimonadetes; c__Armatimonadia; o__Armatimonadales; f__Armatimonadaceae,2
NTP7,6271-Root; k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__MC47; f__,3
NTP5,6291-Root; k__Bacteria; p__Acidobacteria; c__Chloracidobacteria; o__; f__,1
NTP32,6299-Root; k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Acidimicrobiales; f__,2
NTP33,6299-Root; k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Acidimicrobiales; f__,2
NTP36,6299-Root; k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Acidimicrobiales; f__,1
NTP16,6335-Root; k__Bacteria; p__Planctomycetes; c__Planctomycea; o__Gemmatales; f__Gemmataceae,1
NTP11,6337-Root; k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__; f__,1
NTP39,6342-Root; k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__; f__,1
NTP12,6377-Root; k__Bacteria,1
NTP14,6385-Root; k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__; f__,1
NTP12,6399-Root; k__Bacteria,1
NTP23,6399-Root; k__Bacteria,1
NTP13,6400-Root; k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Acidimicrobiales; f__,1
NTP22,6400-Root; k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Acidimicrobiales; f__,1
NTP16,6403-Root; k__Bacteria,1
NTP23,6403-Root; k__Bacteria,1
NTP22,6406-Root; k__Bacteria; p__Chloroflexi; c__Bljii12; o__AKYG885; f__5B-12,1
NTP25,6410-Root; k__Bacteria; p__SPAM; c__0319-6G9; o__; f__,1
NTP25,6413-Root; k__Bacteria; p__Acidobacteria; c__Chloracidobacteria; o__; f__,1
NTP34,6413-Root; k__Bacteria; p__Acidobacteria; c__Chloracidobacteria; o__; f__,1
NTP27,6415-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP12,6420-Root; k__Bacteria; p__SPAM; c__0319-6G9; o__; f__,1
NTP14,6420-Root; k__Bacteria; p__SPAM; c__0319-6G9; o__; f__,1
NTP29,6420-Root; k__Bacteria; p__SPAM; c__0319-6G9; o__; f__,1
NTP1,6421-Root; k__Bacteria,1
NTP2,6421-Root; k__Bacteria,9
NTP33,6421-Root; k__Bacteria,2
NTP39,6421-Root; k__Bacteria,1
NTP2,6422-Root; k__Bacteria,1
NTP32,6425-Root; k__Bacteria; p__TM6; c__SJA-4; o__; f__,2
NTP5,6425-Root; k__Bacteria; p__TM6; c__SJA-4; o__; f__,2
NTP36,6430-Root; k__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__; f__,1
NTP36,6433-Root; k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Acidimicrobiales; f__EB1017,1
NTP38,6434-Root; k__Bacteria; p__Acidobacteria; c__Acidobacteria; o__Acidobacteriales; f__,1
NTP38,6436-Root; k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__; f__,1
NTP38,6438-Root; k__Bacteria,1
NTP39,6445-Root; k__Bacteria; p__Planctomycetes; c__Planctomycea; o__Pirellulales,1
NTP3,6446-Root; k__Bacteria,1
NTP4,6449-Root; k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__; f__,1
NTP8,6455-Root; k__Bacteria; p__Chloroflexi; c__Bljii12; o__B07_WMSP1; f__AKYH910,1
NTP1,6474-Root; k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae,1
NTP11,6474-Root; k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae,1
NTP27,6474-Root; k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae,1
NTP7,6484-Root; k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__NB1-j; f__,1
NTP10,6520-Root; k__Bacteria; p__Armatimonadetes; c__Armatimonadia; o__Armatimonadales; f__Armatimonadaceae,1
NTP3,6520-Root; k__Bacteria; p__Armatimonadetes; c__Armatimonadia; o__Armatimonadales; f__Armatimonadaceae,1
NTP33,6533-Root; k__Bacteria; p__Elusimicrobia; c__Elusimicrobia; o__FAC88; f__,1
NTP24,6553-Root; k__Bacteria; p__WS3; c__PRR-12; o__Sediment-1; f__PRR-10,1
NTP11,6559-Root; k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__; f__,1
NTP36,6559-Root; k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__; f__,1
NTP34,6564-Root; k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__; f__,2
NTP1,6569-Root; k__Bacteria; p__Planctomycetes; c__Planctomycea; o__Gemmatales; f__Gemmataceae,1
NTP14,6569-Root; k__Bacteria; p__Planctomycetes; c__Planctomycea; o__Gemmatales; f__Gemmataceae,1
NTP5,6581-Root; k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__CTD005-82B-02; f__,1
NTP13,6635-Root; k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Caldilineales; f__Caldilineaceae,1
NTP2,6646-Root; k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__; f__,1
NTP27,6646-Root; k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__; f__,1
NTP16,6654-Root; k__Bacteria; p__Chlorobi; c__SM1B09; o__; f__,1
NTP2,6665-Root; k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae,1
NTP14,6719-Root; k__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae,1
NTP14,6721-Root; k__Bacteria; p__Actinobacteria; c__Actinobacteria,1
NTP33,6723-Root; k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__; f__,2
NTP7,6723-Root; k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__; f__,2
NTP23,6741-Root; k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__Phycisphaerales; f__,1
NTP18,6786-Root; k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__Phycisphaerales; f__,1
NTP6,6789-Root; k__Bacteria; p__NKB19; c__; o__; f__,1
NTP22,6820-Root; k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__; f__,1
NTP7,6824-Root; k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__A31; f__S47,1
NTP16,6855-Root; k__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Gemmatimonadales; f__,1
NTP18,6855-Root; k__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Gemmatimonadales; f__,4
NTP11,6866-Root; k__Bacteria; p__WS3; c__PRR-12; o__Sediment-1; f__,1
NTP21,6866-Root; k__Bacteria; p__WS3; c__PRR-12; o__Sediment-1; f__,2
NTP29,6866-Root; k__Bacteria; p__WS3; c__PRR-12; o__Sediment-1; f__,2
NTP34,6866-Root; k__Bacteria; p__WS3; c__PRR-12; o__Sediment-1; f__,2
NTP39,6866-Root; k__Bacteria; p__WS3; c__PRR-12; o__Sediment-1; f__,1
NTP33,6869-Root; k__Bacteria; p__Elusimicrobia; c__Elusimicrobia; o__FAC88; f__,1
NTP21,6877-Root; k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__A31; f__S47,5
NTP23,6877-Root; k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__A31; f__S47,1
NTP29,6877-Root; k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__A31; f__S47,1
NTP33,6877-Root; k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__A31; f__S47,1
NTP38,6877-Root; k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__A31; f__S47,2
NTP33,6940-Root; k__Bacteria; p__Verrucomicrobia,1
NTP26,6942-Root; k__Bacteria; p__Chlorobi; c__SM1B09; o__; f__,2
NTP10,6964-Root; k__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Gemmatimonadales; f__,3
NTP13,6964-Root; k__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Gemmatimonadales; f__,1
NTP33,6964-Root; k__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Gemmatimonadales; f__,1
NTP36,6964-Root; k__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Gemmatimonadales; f__,1
NTP6,6964-Root; k__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Gemmatimonadales; f__,1
NTP2,6975-Root; k__Bacteria,1
NTP12,7049-Root; k__Bacteria; p__SPAM; c__0319-6G9; o__; f__,1
NTP13,7049-Root; k__Bacteria; p__SPAM; c__0319-6G9; o__; f__,1
NTP24,7049-Root; k__Bacteria; p__SPAM; c__0319-6G9; o__; f__,1
NTP29,7049-Root; k__Bacteria; p__SPAM; c__0319-6G9; o__; f__,1
NTP18,7050-Root; k__Bacteria; p__Chloroflexi; c__TK17; o__S085; f__,1
NTP11,7071-Root; k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__Phycisphaerales; f__,2
NTP1,7080-Root; k__Bacteria; p__WS3; c__PRR-12; o__Sediment-1; f__PRR-10,1
NTP29,7080-Root; k__Bacteria; p__WS3; c__PRR-12; o__Sediment-1; f__PRR-10,1
NTP3,7080-Root; k__Bacteria; p__WS3; c__PRR-12; o__Sediment-1; f__PRR-10,1
NTP33,7080-Root; k__Bacteria; p__WS3; c__PRR-12; o__Sediment-1; f__PRR-10,1
NTP6,7080-Root; k__Bacteria; p__WS3; c__PRR-12; o__Sediment-1; f__PRR-10,1
NTP38,7081-Root; k__Bacteria; p__WS3; c__PRR-12; o__Sediment-1; f__PRR-10,1
NTP11,7108-Root; k__Bacteria; p__Elusimicrobia; c__Elusimicrobia; o__FAC88; f__,1
NTP2,7108-Root; k__Bacteria; p__Elusimicrobia; c__Elusimicrobia; o__FAC88; f__,1
NTP1,7116-Root; k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__; f__,1
NTP9,7116-Root; k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__; f__,1
NTP4,7146-Root; k__Bacteria; p__Acidobacteria; c__Solibacteres; o__Solibacterales; f__Solibacteraceae,1
NTP18,7153-Root; k__Bacteria; p__SPAM; c__0319-6G9; o__; f__,1
NTP12,7154-Root; k__Bacteria,1
NTP3,7173-Root; k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae,1
NTP13,7225-Root; k__Bacteria; p__Elusimicrobia; c__Elusimicrobia; o__FAC88; f__,1
NTP25,7225-Root; k__Bacteria; p__Elusimicrobia; c__Elusimicrobia; o__FAC88; f__,1
NTP3,7225-Root; k__Bacteria; p__Elusimicrobia; c__Elusimicrobia; o__FAC88; f__,1
NTP5,7236-Root; k__Bacteria; p__Chloroflexi,1
NTP2,7241-Root; k__Bacteria; p__Chloroflexi,1
NTP1,7260-Root; k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae,1
NTP33,7260-Root; k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae,1
NTP6,7310-Root; k__Bacteria; p__Chloroflexi; c__Bljii12; o__AKYG885; f__Dolo_23,1
NTP9,7310-Root; k__Bacteria; p__Chloroflexi; c__Bljii12; o__AKYG885; f__Dolo_23,1
NTP34,7338-Root; k__Bacteria; p__Verrucomicrobia; c__Spartobacteria; o__Spartobacteriales; f__Spartobacteriaceae,1
NTP1,7376-Root; k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae,3
NTP25,7376-Root; k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae,1
NTP29,7376-Root; k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae,1
NTP8,7376-Root; k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae,1
NTP2,7385-Root; k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__Phycisphaerales; f__,2
NTP34,7385-Root; k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__Phycisphaerales; f__,1
NTP38,7385-Root; k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__Phycisphaerales; f__,1
NTP22,7392-Root; k__Bacteria; p__Acidobacteria; c__Chloracidobacteria; o__; f__,1
NTP6,7414-Root; k__Bacteria; p__Chloroflexi; c__Ktedonobacteria; o__; f__,1
NTP3,7536-Root; k__Bacteria; p__Chloroflexi; c__Bljii12; o__B07_WMSP1; f__FFCH4570,2
NTP12,7589-Root; k__Bacteria; p__Chloroflexi; c__Bljii12; o__B07_WMSP1; f__FFCH4570,1
NTP36,7589-Root; k__Bacteria; p__Chloroflexi; c__Bljii12; o__B07_WMSP1; f__FFCH4570,1
NTP5,7589-Root; k__Bacteria; p__Chloroflexi; c__Bljii12; o__B07_WMSP1; f__FFCH4570,1
NTP32,7605-Root; k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__; f__,1
NTP38,7605-Root; k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__; f__,1
NTP39,7610-Root; k__Bacteria; p__Verrucomicrobia; c__Spartobacteria; o__Spartobacteriales; f__Spartobacteriaceae,1
NTP36,7634-Root; k__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__; f__,1
NTP6,7641-Root; k__Bacteria; p__Verrucomicrobia; c__Spartobacteria; o__Spartobacteriales; f__Spartobacteriaceae,1
NTP10,7655-Root; k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__; f__,1
NTP13,7655-Root; k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__; f__,1
NTP24,7655-Root; k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__; f__,1
NTP28,7655-Root; k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__; f__,1
NTP9,7655-Root; k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__; f__,1
NTP36,7677-Root; k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__; f__,1
NTP34,7691-Root; k__Bacteria; p__SPAM; c__0319-6G9; o__; f__,1
NTP22,7828-Root; k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__MC47; f__,1
NTP29,7828-Root; k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__MC47; f__,1
NTP7,7828-Root; k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__MC47; f__,1
NTP23,7839-Root; k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__MC47; f__,1
NTP27,7839-Root; k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__MC47; f__,1
NTP29,7839-Root; k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__MC47; f__,2
NTP5,7839-Root; k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__MC47; f__,1
NTP6,7881-Root; k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Bdellovibrionales; f__Bdellovibrionaceae,1
NTP34,7884-Root; k__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Gemmatimonadales; f__,1
NTP9,7884-Root; k__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Gemmatimonadales; f__,1
NTP18,7889-Root; k__Bacteria; p__Chloroflexi; c__Chloroflexi; o__Chloroflexales,1
NTP24,7889-Root; k__Bacteria; p__Chloroflexi; c__Chloroflexi; o__Chloroflexales,1
NTP7,7921-Root; k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__Phycisphaerales; f__Phycisphaeraceae,2
NTP2,8013-Root; k__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__; f__,2
NTP24,8023-Root; k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__MC47; f__,1
NTP7,8023-Root; k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__MC47; f__,1
NTP29,8090-Root; k__Bacteria; p__Elusimicrobia; c__Elusimicrobia; o__FAC88; f__,1
NTP3,8091-Root; k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__MIZ46; f__,1
